lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
1e-08,0,,,,,,,,,,,,,,,,
,49,109.98300170898438,0,,,,,,,,,,,,,,
,99,168.57595825195312,0,,,,,,,,,,,,,,
,119,,0,101.53600311279297,1358.0859375,0.0,1294.218017578125,63.86796569824219,,,,,,,,,
,119,,0,,,,,,1716.791748046875,0.0,1654.0679931640625,62.72374725341797,,,,,
0.00011112,120,,,,,,,,,,,,,,,,
,149,6.802051544189453,1,,,,,,,,,,,,,,
,199,3.7468318939208984,1,,,,,,,,,,,,,,
,239,,1,3.3549466133117676,100.0,100.0,0.0,0.0,,,,,,,,,
,239,,1,,,,,,113.80626678466797,96.28414916992188,14.835845947265625,2.686275005340576,,,,,
0.00022223000000000002,240,,,,,,,,,,,,,,,,
,249,3.387524366378784,2,,,,,,,,,,,,,,
,299,3.244659900665283,2,,,,,,,,,,,,,,
,349,3.193211078643799,2,,,,,,,,,,,,,,
,359,,2,3.2201263904571533,100.0,100.0,0.0,0.0,,,,,,,,,
,359,,2,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00033334,360,,,,,,,,,,,,,,,,
,399,3.5928256511688232,3,,,,,,,,,,,,,,
,449,3.3103013038635254,3,,,,,,,,,,,,,,
,479,,3,3.1004302501678467,100.0,100.0,0.0,0.0,,,,,,,,,
,479,,3,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00044445,480,,,,,,,,,,,,,,,,
,499,3.289479970932007,4,,,,,,,,,,,,,,
,549,3.0765304565429688,4,,,,,,,,,,,,,,
,599,3.0756916999816895,4,,,,,,,,,,,,,,
,599,,4,3.054882049560547,100.0,100.0,0.0,0.0,,,,,,,,,
,599,,4,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00055556,600,,,,,,,,,,,,,,,,
,649,3.1211681365966797,5,,,,,,,,,,,,,,
,699,2.97579288482666,5,,,,,,,,,,,,,,
,719,,5,2.974497079849243,100.0,100.0,0.0,0.0,,,,,,,,,
,719,,5,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00066667,720,,,,,,,,,,,,,,,,
,749,3.1319899559020996,6,,,,,,,,,,,,,,
,799,2.940608024597168,6,,,,,,,,,,,,,,
,839,,6,2.933150053024292,100.0,100.0,0.0,0.0,,,,,,,,,
,839,,6,,,,,,99.99588775634766,99.99588775634766,0.0,0.0,,,,,
0.0007777799999999999,840,,,,,,,,,,,,,,,,
,849,2.972989559173584,7,,,,,,,,,,,,,,
,899,3.0545716285705566,7,,,,,,,,,,,,,,
,949,2.87380313873291,7,,,,,,,,,,,,,,
,959,,7,2.8713643550872803,100.0,100.0,0.0,0.0,,,,,,,,,
,959,,7,,,,,,99.98348999023438,99.98348999023438,0.0,0.0,,,,,
0.0008888899999999999,960,,,,,,,,,,,,,,,,
,999,2.9581313133239746,8,,,,,,,,,,,,,,
,1049,2.8772082328796387,8,,,,,,,,,,,,,,
,1079,,8,2.88999080657959,100.0,100.0,0.0,0.0,,,,,,,,,
,1079,,8,,,,,,99.98760223388672,99.98760223388672,0.0,0.0,,,,,
0.001,1080,,,,,,,,,,,,,,,,
,1099,2.9282994270324707,9,,,,,,,,,,,,,,
,1149,2.828761100769043,9,,,,,,,,,,,,,,
