lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
1e-08,0,,,,,,,,,,,,,,,,
,49,109.98300170898438,0,,,,,,,,,,,,,,
,99,168.57595825195312,0,,,,,,,,,,,,,,
,119,,0,101.53600311279297,1358.0859375,0.0,1294.218017578125,63.86796569824219,,,,,,,,,
,119,,0,,,,,,1716.7958984375,0.0,1654.0721435546875,62.72374725341797,,,,,
0.00011112,120,,,,,,,,,,,,,,,,
,149,6.801902770996094,1,,,,,,,,,,,,,,
,199,3.7466835975646973,1,,,,,,,,,,,,,,
,239,,1,3.354947566986084,100.0,100.0,0.0,0.0,,,,,,,,,
,239,,1,,,,,,113.80764770507812,96.28414916992188,14.837224960327148,2.686275005340576,,,,,
0.00022223000000000002,240,,,,,,,,,,,,,,,,
,249,3.3875555992126465,2,,,,,,,,,,,,,,
,299,3.244663953781128,2,,,,,,,,,,,,,,
,349,3.1932122707366943,2,,,,,,,,,,,,,,
,359,,2,3.220027208328247,100.0,100.0,0.0,0.0,,,,,,,,,
,359,,2,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00033334,360,,,,,,,,,,,,,,,,
,399,3.5925135612487793,3,,,,,,,,,,,,,,
,449,3.309934616088867,3,,,,,,,,,,,,,,
,479,,3,3.1002073287963867,100.0,100.0,0.0,0.0,,,,,,,,,
,479,,3,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00044445,480,,,,,,,,,,,,,,,,
,499,3.2893073558807373,4,,,,,,,,,,,,,,
,549,3.0665671825408936,4,,,,,,,,,,,,,,
,599,3.0754377841949463,4,,,,,,,,,,,,,,
,599,,4,3.05574369430542,100.0,100.0,0.0,0.0,,,,,,,,,
,599,,4,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00055556,600,,,,,,,,,,,,,,,,
,649,3.1208972930908203,5,,,,,,,,,,,,,,
,699,2.974398612976074,5,,,,,,,,,,,,,,
,719,,5,2.973414659500122,100.0,100.0,0.0,0.0,,,,,,,,,
,719,,5,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00066667,720,,,,,,,,,,,,,,,,
,749,3.130568742752075,6,,,,,,,,,,,,,,
,799,2.940078020095825,6,,,,,,,,,,,,,,
,839,,6,2.93270206451416,100.0,100.0,0.0,0.0,,,,,,,,,
,839,,6,,,,,,99.9931411743164,99.9931411743164,0.0,0.0,,,,,
0.0007777799999999999,840,,,,,,,,,,,,,,,,
,849,2.9680442810058594,7,,,,,,,,,,,,,,
,899,3.0528573989868164,7,,,,,,,,,,,,,,
,949,2.872856616973877,7,,,,,,,,,,,,,,
,959,,7,2.8681461811065674,100.0,100.0,0.0,0.0,,,,,,,,,
,959,,7,,,,,,99.98623657226562,99.98623657226562,0.0,0.0,,,,,
0.0008888899999999999,960,,,,,,,,,,,,,,,,
,999,2.963291645050049,8,,,,,,,,,,,,,,
,1049,2.8738608360290527,8,,,,,,,,,,,,,,
,1079,,8,2.8624367713928223,100.0,100.0,0.0,0.0,,,,,,,,,
,1079,,8,,,,,,99.98760223388672,99.98622131347656,0.0,0.0013775622937828302,,,,,
0.001,1080,,,,,,,,,,,,,,,,
,1099,2.9232735633850098,9,,,,,,,,,,,,,,
