lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
1e-08,0,,,,,,,,,,,,,,,,
,49,101.81615447998047,0,,,,,,,,,,,,,,
,99,114.05709838867188,0,,,,,,,,,,,,,,
,119,,0,106.29704284667969,1291.1829833984375,0.0,1214.6876220703125,76.49534606933594,,,,,,,,,
,119,,0,,,,,,1493.310302734375,0.0,1418.5166015625,74.79370880126953,,,,,
0.00011112,120,,,,,,,,,,,,,,,,
,149,7.215277671813965,1,,,,,,,,,,,,,,
,199,3.4603347778320312,1,,,,,,,,,,,,,,
,239,,1,3.348987102508545,100.0,100.0,0.0,0.0,,,,,,,,,
,239,,1,,,,,,128.8349151611328,94.04183959960938,30.02737045288086,4.7657036781311035,,,,,
0.00022223000000000002,240,,,,,,,,,,,,,,,,
,249,3.6566944122314453,2,,,,,,,,,,,,,,
,299,3.5438363552093506,2,,,,,,,,,,,,,,
,349,3.280226230621338,2,,,,,,,,,,,,,,
,359,,2,3.2484960556030273,100.0,100.0,0.0,0.0,,,,,,,,,
,359,,2,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00033334,360,,,,,,,,,,,,,,,,
,399,3.318575859069824,3,,,,,,,,,,,,,,
,449,3.2572336196899414,3,,,,,,,,,,,,,,
,479,,3,3.1356663703918457,100.0,100.0,0.0,0.0,,,,,,,,,
,479,,3,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00044445,480,,,,,,,,,,,,,,,,
,499,3.1302740573883057,4,,,,,,,,,,,,,,
,549,3.0736870765686035,4,,,,,,,,,,,,,,
,599,3.125880479812622,4,,,,,,,,,,,,,,
,599,,4,3.0895869731903076,100.0,100.0,0.0,0.0,,,,,,,,,
,599,,4,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00055556,600,,,,,,,,,,,,,,,,
,649,3.1337924003601074,5,,,,,,,,,,,,,,
,699,3.5402262210845947,5,,,,,,,,,,,,,,
,719,,5,3.091024398803711,100.0,100.0,0.0,0.0,,,,,,,,,
,719,,5,,,,,,100.0,100.0,0.0,0.0,,,,,
