lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
1e-08,0,,,,,,,,,,,,,,,,
,49,109.98300170898438,0,,,,,,,,,,,,,,
,99,168.57595825195312,0,,,,,,,,,,,,,,
,119,,0,101.53600311279297,1358.0859375,0.0,1294.218017578125,63.86796569824219,,,,,,,,,
,119,,0,,,,,,1716.7958984375,0.0,1654.0721435546875,62.72374725341797,,,,,
0.00011112,120,,,,,,,,,,,,,,,,
,149,6.80202579498291,1,,,,,,,,,,,,,,
,199,3.7468185424804688,1,,,,,,,,,,,,,,
,239,,1,3.3549487590789795,100.0,100.0,0.0,0.0,,,,,,,,,
,239,,1,,,,,,113.80489349365234,96.28001403808594,14.834467887878418,2.6904098987579346,,,,,
0.00022223000000000002,240,,,,,,,,,,,,,,,,
,249,3.38753080368042,2,,,,,,,,,,,,,,
,299,3.2446513175964355,2,,,,,,,,,,,,,,
,349,3.193204879760742,2,,,,,,,,,,,,,,
,359,,2,3.2201454639434814,100.0,100.0,0.0,0.0,,,,,,,,,
,359,,2,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00033334,360,,,,,,,,,,,,,,,,
,399,3.592841863632202,3,,,,,,,,,,,,,,
,449,3.3104329109191895,3,,,,,,,,,,,,,,
,479,,3,3.100430727005005,100.0,100.0,0.0,0.0,,,,,,,,,
,479,,3,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00044445,480,,,,,,,,,,,,,,,,
,499,3.289433240890503,4,,,,,,,,,,,,,,
,549,3.067002296447754,4,,,,,,,,,,,,,,
,599,3.0757837295532227,4,,,,,,,,,,,,,,
,599,,4,3.0564403533935547,100.0,100.0,0.0,0.0,,,,,,,,,
,599,,4,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00055556,600,,,,,,,,,,,,,,,,
,649,3.121997356414795,5,,,,,,,,,,,,,,
,699,2.9757256507873535,5,,,,,,,,,,,,,,
,719,,5,2.9742352962493896,100.0,100.0,0.0,0.0,,,,,,,,,
,719,,5,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00066667,720,,,,,,,,,,,,,,,,
,749,3.131978750228882,6,,,,,,,,,,,,,,
,799,2.9415371417999268,6,,,,,,,,,,,,,,
,839,,6,2.9334769248962402,100.0,100.0,0.0,0.0,,,,,,,,,
,839,,6,,,,,,99.99176788330078,99.99176788330078,0.0,0.0,,,,,
0.0007777799999999999,840,,,,,,,,,,,,,,,,
,849,2.9702987670898438,7,,,,,,,,,,,,,,
,899,3.0536956787109375,7,,,,,,,,,,,,,,
,949,2.8737125396728516,7,,,,,,,,,,,,,,
,959,,7,2.8708813190460205,100.0,100.0,0.0,0.0,,,,,,,,,
,959,,7,,,,,,99.9889907836914,99.9889907836914,0.0,0.0,,,,,
0.0008888899999999999,960,,,,,,,,,,,,,,,,
,999,2.959398031234741,8,,,,,,,,,,,,,,
,1049,2.8767428398132324,8,,,,,,,,,,,,,,
,1079,,8,2.881411552429199,100.0,100.0,0.0,0.0,,,,,,,,,
,1079,,8,,,,,,99.98622131347656,99.98484802246094,0.0,0.0013775622937828302,,,,,
0.001,1080,,,,,,,,,,,,,,,,
,1099,2.924131393432617,9,,,,,,,,,,,,,,
