Wall time,Step,Value
1741369176.696461,119,1716.7904052734375
1741369254.006665,239,114.27764129638672
1741369328.2368472,359,100.0
1741369401.223935,479,100.0
1741369473.813926,599,100.0
1741369547.194852,719,100.0
1741369620.442058,839,100.0
1741369693.3413901,959,99.97660827636719
1741369766.293086,1079,99.97657775878906
1741369839.1840398,1199,99.96980285644531
1741369913.052383,1319,99.652587890625
1741369987.4565,1439,97.54034423828125
1741370062.971168,1559,95.82604217529297
1741370137.3725052,1679,93.86111450195312
1741370210.5630789,1799,92.57127380371094
1741370284.056336,1919,90.67756652832031
1741370357.0083609,2039,87.09246063232422
1741370432.177391,2159,83.881591796875
1741370505.294296,2279,80.13597106933594
1741370579.196529,2399,78.64839172363281
1741370652.8281212,2519,75.94793701171875
1741370726.541966,2639,73.5812759399414
1741370798.928513,2759,71.75468444824219
1741370871.480336,2879,69.60320281982422
1741370942.374356,2999,68.2135238647461
1741371015.134707,3119,67.1648941040039
1741371088.042148,3239,66.16716003417969
1741371160.619797,3359,66.06517028808594
1741371232.711614,3479,65.60163879394531
1741371305.414816,3599,65.39554595947266
